"CURRENT_AVG_RATING","PREV_YEAR_RATING","YOY_CHANGE","CAL_YEAR"
2.64,2.44,0.20,2026
2.44,2.49,-0.05,2025
2.49,2.24,0.25,2024
2.24,2.30,-0.06,2023
2.30,2.14,0.16,2022
2.14,2.61,-0.47,2021
2.61,2.50,0.11,2020
2.50,2.42,0.08,2019
2.42,2.67,-0.25,2018
2.67,1.83,0.84,2017
